"Name","Pin","Function","Symbolic Name","Drive Capacity","IRQ","Mode","Output type","Pull up","Port Capabilities"
"P112","77","GPIO","IN1","","","Input mode","","None","BUS_ASYNCH_BUS_SDRAM0: A04
GLCDC0: LCD_DATA11
GPT3: GTIOCB
SCI1: SCK
SCI2: SDA
SCI2: TXD
SPI1: SSL0
SSI0: SSISCK"
"P113","78","GPIO","IN2","","","Input mode","","None","BUS_ASYNCH_BUS_SDRAM0: A03
GLCDC0: LCD_DATA10
GPT2: GTIOCA
SCI2: RXD
SCI2: SCL
SSI0: SSIWS"
"P114","79","GPIO","IN3","","","Input mode","","None","BUS_ASYNCH_BUS_SDRAM0: A02
GLCDC0: LCD_DATA09
GPT2: GTIOCB
SSI0: SSIRXD"
"P115","80","GPIO","IN4","","","Input mode","","None","BUS_ASYNCH_BUS_SDRAM0: A01
GLCDC0: LCD_DATA08
GPT4: GTIOCA
SSI0: SSITXD"
"P200","57","","","","","Disabled","","","ICU0: NMI"
"P201","56","GPIO","Out1","","","Output mode (Initial High)","CMOS","","SYSTEM0: MD"
"P202","46","CAN0_CRX","","Low","None","Peripheral mode","CMOS","None","BUS_ASYNCH_BUS_SDRAM0: WR_BC1
CAN0: CRX
ETHERC_MII0: ERXD2
GLCDC0: LCD_TCON3
GPT5: GTIOCB
ICU0: IRQ03
SCI2: SCK
SCI9: RXD
SCI9: SCL
SDHI0: DAT6
SPI1: MISO"
"P203","45","CAN0_CTX","","Low","None","Peripheral mode","CMOS","None","BUS_ASYNCH_BUS_SDRAM0: A19
CAN0: CTX
CTSU0: TSCAP
ETHERC_MII0: COL
GPT5: GTIOCA
ICU0: IRQ02
SCI2: CTS
SCI9: SDA
SCI9: TXD
SDHI0: DAT5
SPI1: MOSI"
"P204","44","","","","","Disabled","","","AGT1: AGTIO
BUS_ASYNCH_BUS_SDRAM0: A18
CAC0: CACREF
CTSU0: TS00
ETHERC_MII0: RX_DV
GPT_OPS0: GTIW
GPT4: GTIOCB
IIC0: SCL
SCI4: SCK
SCI9: SCK
SDHI0: DAT4
SPI1: RSPCK
SSI1: SSISCK
USB_FS0: OVRCURB"
"P205","43","SCI4_TXD","","Low","None","Peripheral mode","CMOS","None","AGT1: AGTO
BUS_ASYNCH_BUS_SDRAM0: A16
CGC0: CLKOUT
CTSU0: TSCAP
ETHERC_MII0: WOL
ETHERC_RMII0: WOL
GPT_OPS0: GTIV
GPT4: GTIOCA
ICU0: IRQ01
IIC1: SCL
SCI4: SDA
SCI4: TXD
SCI9: CTS
SDHI0: DAT3
SPI1: SSL0
SSI1: SSIWS
USB_FS0: OVRCURA"
"P206","42","SCI4_RXD","","Low","None","Peripheral mode","CMOS","None","BUS_ASYNCH_BUS_SDRAM0: WAIT
CTSU0: TS01
ETHERC_MII0: LINKSTA
ETHERC_RMII0: LINKSTA
GPT_OPS0: GTIU
ICU0: IRQ00
IIC1: SDA
SCI4: RXD
SCI4: SCL
SDHI0: DAT2
SPI1: SSL1
SSI1: SSIDATA
USB_FS0: VBUSEN"
"P207","41","","","","","Disabled","","","BUS_ASYNCH_BUS_SDRAM0: A17
CTSU0: TS02
GLCDC0: LCD_DATA23
QSPI0: QSSL
SPI1: SSL2"
"P208","54","GPIO","ETH-INT","","","Input mode","","None","DEBUG_TRACE0: TDATA3
ETHERC_MII0: LINKSTA
ETHERC_RMII0: LINKSTA
GLCDC0: LCD_DATA18
GPT_OPS0: GTOVLO
QSPI0: QIO3
SDHI0: DAT0"
"P209","53","","","","","Disabled","","","DEBUG_TRACE0: TDATA2
ETHERC_MII0: EXOUT
ETHERC_RMII0: EXOUT
GLCDC0: LCD_DATA19
GPT_OPS0: GTOVUP
QSPI0: QIO2
SDHI0: WP"
"P210","52","","","","","Disabled","","","DEBUG_TRACE0: TDATA1
ETHERC_MII0: WOL
ETHERC_RMII0: WOL
GLCDC0: LCD_DATA20
GPT_OPS0: GTIW
QSPI0: QIO1
SDHI0: CD"
"P211","51","","","","","Disabled","","","DEBUG_TRACE0: TDATA0
ETHERC_MII0: MDIO
ETHERC_RMII0: MDIO
GLCDC0: LCD_DATA21
GPT_OPS0: GTIV
QSPI0: QIO0
SDHI0: CMD"
"P212","20","CGC0_EXTAL","","Low","None","Peripheral mode","CMOS","None","AGT1: AGTEE
CGC0: EXTAL
GPT_POEG3: GTETRG
GPT0: GTIOCB
ICU0: IRQ03
SCI1: RXD
SCI1: SCL"
"P213","19","CGC0_XTAL","","Low","None","Peripheral mode","CMOS","None","ADC1: ADTRG
CGC0: XTAL
GPT_POEG2: GTETRG
GPT0: GTIOCA
ICU0: IRQ02
SCI1: SDA
SCI1: TXD"
"P214","50","","","","","Disabled","","","DEBUG_TRACE0: TCLK
ETHERC_MII0: MDC
ETHERC_RMII0: MDC
GLCDC0: LCD_DATA22
GPT_OPS0: GTIU
QSPI0: QSPCLK
SDHI0: CLK"
"P300","72","DEBUG0_TCK","","Low","","Peripheral mode","CMOS","None","DEBUG0: SWCLK
DEBUG0: TCK
GPT_OPS0: GTOUUP
GPT0: GTIOCA
SPI1: SSL1"
"P301","71","GPIO","RedLED","Low","None","Output mode (Initial Low)","CMOS","","AGT0: AGTIO
BUS_ASYNCH_BUS_SDRAM0: A06
GLCDC0: LCD_DATA13
GPT_OPS0: GTOULO
GPT4: GTIOCB
ICU0: IRQ06
SCI2: RXD
SCI2: SCL
SCI9: CTS
SPI1: SSL2"
"P302","70","GPIO","YellowLED","Low","None","Output mode (Initial Low)","CMOS","","BUS_ASYNCH_BUS_SDRAM0: A07
GLCDC0: LCD_DATA14
GPT_OPS0: GTOUUP
GPT4: GTIOCA
ICU0: IRQ05
SCI2: SDA
SCI2: TXD
SPI1: SSL3"
"P303","69","GPIO","GreenLED","Low","","Output mode (Initial Low)","CMOS","","BUS_ASYNCH_BUS_SDRAM0: A08
GLCDC0: LCD_DATA15
GPT7: GTIOCB"
"P304","66","GPIO","RS485-DE","Low","None","Output mode (Initial Low)","CMOS","","BUS_ASYNCH_BUS_SDRAM0: A09
GLCDC0: LCD_DATA16
GPT_OPS0: GTOWLO
GPT7: GTIOCA
ICU0: IRQ09
SCI6: RXD
SCI6: SCL"
"P305","65","GPIO","RS485-RE1","Low","None","Output mode (Initial High)","CMOS","","BUS_ASYNCH_BUS_SDRAM0: A10
GLCDC0: LCD_DATA17
GPT_OPS0: GTOWUP
ICU0: IRQ08
QSPI0: QSPCLK
SCI6: SDA
SCI6: TXD"
"P306","64","GPIO","RS485-RE2","Low","","Output mode (Initial High)","CMOS","","BUS_ASYNCH_BUS_SDRAM0: A11
GLCDC0: LCD_DATA18
GPT_OPS0: GTOULO
QSPI0: QSSL
SCI6: SCK"
"P307","63","GPIO","RS485-RE3","Low","","Output mode (Initial High)","CMOS","","BUS_ASYNCH_BUS_SDRAM0: A12
GLCDC0: LCD_DATA19
GPT_OPS0: GTOUUP
QSPI0: QIO0
SCI6: CTS"
"P308","62","GPIO","RS485-RE4","Low","","Output mode (Initial High)","CMOS","","BUS_ASYNCH_BUS_SDRAM0: A13
GLCDC0: LCD_DATA20
QSPI0: QIO1"
"P309","61","GPIO","RS485-RE5","Low","","Output mode (Initial High)","CMOS","","BUS_ASYNCH_BUS_SDRAM0: A14
GLCDC0: LCD_DATA21
QSPI0: QIO2
SCI3: RXD
SCI3: SCL"
"P310","60","GPIO","Out4","Low","","Output mode (Initial High)","CMOS","","AGT1: AGTEE
BUS_ASYNCH_BUS_SDRAM0: A15
GLCDC0: LCD_DATA22
QSPI0: QIO3
SCI3: SDA
SCI3: TXD"
"P311","59","GPIO","Out3","Low","","Output mode (Initial High)","CMOS","","AGT1: AGTOB
BUS_ASYNCH_BUS_SDRAM0: CS_RAS2
GLCDC0: LCD_DATA23
SCI3: SCK"
"P312","58","GPIO","Out2","Low","","Output mode (Initial High)","CMOS","","AGT1: AGTOA
BUS_ASYNCH_BUS_SDRAM0: CS_CAS3
SCI3: CTS"
"P313","47","GPIO","ETH-RST","Low","","Output mode (Initial Low)","CMOS","","BUS_ASYNCH_BUS_SDRAM0: A20
ETHERC_MII0: ERXD3
GLCDC0: LCD_TCON2
SDHI0: DAT7"
"P400","1","","","","","Disabled","","","ADC1: ADTRG
AGT1: AGTIO
ETHERC_MII0: WOL
ETHERC_RMII0: WOL
GPT6: GTIOCA
ICU0: IRQ00
IIC0: SCL
SCI4: SCK
SCI7: SCK
SSI_COMMON0: AUDIO_CLK"
"P401","2","RMII_MDC","","Low","None","Peripheral mode","CMOS","None","CAN0: CTX
ETHERC_MII0: MDC
ETHERC_RMII0: MDC
GPT_POEG0: GTETRG
GPT6: GTIOCB
ICU0: IRQ05
IIC0: SDA
SCI4: CTS
SCI7: SDA
SCI7: TXD"
"P402","3","RMII_MDIO","","Low","None","Peripheral mode","CMOS","None","AGT0: AGTIO
AGT1: AGTIO
CAC0: CACREF
CAN0: CRX
ETHERC_MII0: MDIO
ETHERC_RMII0: MDIO
ICU0: IRQ04
PDC0: VSYNC
RTC0: RTCIC0
SCI7: RXD
SCI7: SCL
SSI_COMMON0: AUDIO_CLK"
"P403","4","GPIO","Precharge","Low","","Output mode (Initial Low)","CMOS","","AGT0: AGTIO
AGT1: AGTIO
ETHERC_MII0: LINKSTA
ETHERC_RMII0: LINKSTA
GPT3: GTIOCA
PDC0: PIXD7
RTC0: RTCIC1
SCI7: CTS
SDHI1: DAT7
SSI0: SSISCK"
"P404","5","GPIO","Discharge","Low","","Output mode (Initial Low)","CMOS","","ETHERC_MII0: EXOUT
ETHERC_RMII0: EXOUT
GPT3: GTIOCB
PDC0: PIXD6
RTC0: RTCIC2
SDHI1: DAT6
SSI0: SSIWS"
"P405","6","GPT1_GTIOCA","","Low","","Peripheral mode","CMOS","None","ETHERC_MII0: TX_EN
ETHERC_RMII0: TXD_EN
GPT1: GTIOCA
PDC0: PIXD5
SDHI1: DAT5
SSI0: SSITXD"
"P406","7","GPIO","Shutdown","Low","","Output mode (Initial Low)","CMOS","","ETHERC_MII0: RX_ER
ETHERC_RMII0: TXD1
GPT1: GTIOCB
PDC0: PIXD4
SDHI1: DAT4
SPI1: SSL3
SSI0: SSIRXD"
"P407","36","","","","","Disabled","","","ADC0: ADTRG
AGT0: AGTIO
CTSU0: TS03
ETHERC_MII0: EXOUT
ETHERC_RMII0: EXOUT
IIC0: SDA
RTC0: RTCOUT
SCI4: CTS
SPI1: SSL3
USB_FS0: VBUS"
"P408","35","RMII_CRS_DV","","Low","None","Peripheral mode","CMOS","None","CTSU0: TS04
ETHERC_MII0: CRS
ETHERC_RMII0: CRS_DV
GPT_OPS0: GTOWLO
GPT10: GTIOCB
ICU0: IRQ07
IIC0: SCL
PDC0: PIXCLK
SCI3: RXD
SCI3: SCL
USB_FS0: ID
USB_HS0: ID"
"P409","34","RMII_RX_ER","","Low","None","Peripheral mode","CMOS","None","CTSU0: TS05
ETHERC_MII0: RX_CLK
ETHERC_RMII0: RX_ER
GPT_OPS0: GTOWUP
GPT10: GTIOCA
ICU0: IRQ06
PDC0: HSYNC
SCI3: SDA
SCI3: TXD
USB_FS0: EXICEN
USB_HS0: EXICEN"
"P410","33","RMII_RXD1","","Low","None","Peripheral mode","CMOS","None","AGT1: AGTOB
CTSU0: TS06
ETHERC_MII0: ERXD0
ETHERC_RMII0: RXD1
GPT_OPS0: GTOVLO
GPT9: GTIOCB
ICU0: IRQ05
PDC0: PIXD0
SCI0: RXD
SCI0: SCL
SCI3: SCK
SDHI0: DAT1
SPI0: MISO"
"P411","32","RMII_RXD0","","Low","None","Peripheral mode","CMOS","None","AGT1: AGTOA
CTSU0: TS07
ETHERC_MII0: ERXD1
ETHERC_RMII0: RXD0
GPT_OPS0: GTOVUP
GPT9: GTIOCA
ICU0: IRQ04
PDC0: PIXD1
SCI0: SDA
SCI0: TXD
SCI3: CTS
SDHI0: DAT0
SPI0: MOSI"
"P412","31","RMII_REF50CK","","Low","","Peripheral mode","CMOS","None","AGT1: AGTEE
CTSU0: TS08
ETHERC_MII0: ETXD0
ETHERC_RMII0: REF50CK
GPT_OPS0: GTOULO
PDC0: PIXD2
SCI0: SCK
SDHI0: CMD
SPI0: RSPCK"
"P413","30","RMII_TXD0","","Low","","Peripheral mode","CMOS","None","CTSU0: TS09
ETHERC_MII0: ETXD1
ETHERC_RMII0: TXD0
GPT_OPS0: GTOUUP
PDC0: PIXD3
SCI0: CTS
SDHI0: CLK
SPI0: SSL0"
"P414","29","RMII_TXD1","","Low","None","Peripheral mode","CMOS","None","CTSU0: TS10
ETHERC_MII0: RX_ER
ETHERC_RMII0: TXD1
GPT0: GTIOCB
ICU0: IRQ09
PDC0: PIXD4
SDHI0: WP
SPI0: SSL1"
"P415","28","RMII_TXD_EN","","Low","None","Peripheral mode","CMOS","None","CTSU0: TS11
ETHERC_MII0: TX_EN
ETHERC_RMII0: TXD_EN
GPT0: GTIOCA
ICU0: IRQ08
PDC0: PIXD5
SDHI0: CD
SPI0: SSL2
USB_FS0: VBUSEN"
"P500","113","","","","","Disabled","","","ACMPHS0: IVREF
ACMPHS1: IVREF
ACMPHS2: IVREF
ACMPHS3: IVREF
ACMPHS4: IVREF
ACMPHS5: IVREF
ADC0: AN16
AGT0: AGTOA
GPT_OPS0: GTIU
GPT11: GTIOCA
QSPI0: QSPCLK
SDHI1: CLK
USB_FS0: VBUSEN"
"P501","114","SCI5_TXD","","Low","None","Peripheral mode","CMOS","None","ACMPHS0: IVREF
ACMPHS1: IVREF
ACMPHS2: IVREF
ACMPHS3: IVREF
ACMPHS4: IVREF
ACMPHS5: IVREF
ADC1: AN16
AGT0: AGTOB
GPT_OPS0: GTIV
GPT11: GTIOCB
ICU0: IRQ11
QSPI0: QSSL
SCI5: SDA
SCI5: TXD
SDHI1: CMD
USB_FS0: OVRCURA"
"P502","115","SCI5_RXD","","Low","None","Peripheral mode","CMOS","None","ACMPHS0: IVCMP
ACMPHS1: IVCMP
ACMPHS2: IVCMP
ACMPHS3: IVCMP
ACMPHS4: IVCMP
ACMPHS5: IVCMP
ADC0: AN17
GPT_OPS0: GTIW
GPT12: GTIOCA
ICU0: IRQ12
QSPI0: QIO0
SCI5: RXD
SCI5: SCL
SDHI1: DAT0
USB_FS0: OVRCURB"
"P503","116","SCI6_CTS","","Low","","Peripheral mode","CMOS","None","ADC1: AN17
GPT_POEG2: GTETRG
GPT12: GTIOCB
QSPI0: QIO1
SCI5: SCK
SCI6: CTS
SDHI1: DAT1
USB_FS0: EXICEN"
"P504","117","SCI6_SCK","","Low","","Peripheral mode","CMOS","None","ADC0: AN18
BUS_ASYNCH_BUS_SDRAM0: ALE
GPT_POEG3: GTETRG
GPT13: GTIOCA
QSPI0: QIO2
SCI5: CTS
SCI6: SCK
SDHI1: DAT2
USB_FS0: ID"
"P505","118","SCI6_RXD","","Low","None","Peripheral mode","CMOS","None","ADC1: AN18
GPT13: GTIOCB
ICU0: IRQ14
QSPI0: QIO3
SCI6: RXD
SCI6: SCL
SDHI1: DAT3"
"P506","119","SCI6_TXD","","Low","None","Peripheral mode","CMOS","None","ADC0: AN19
ICU0: IRQ15
SCI6: SDA
SCI6: TXD
SDHI1: CD"
"P508","120","","","","","Disabled","","","ADC0: AN20
SCI5: SCK
SCI6: SCK"
"P511","144","CAN1_CRX","","Low","None","Peripheral mode","CMOS","None","CAN1: CRX
GPT0: GTIOCB
ICU0: IRQ15
IIC2: SDA
PDC0: PCKO
SCI4: RXD
SCI4: SCL"
"P512","143","CAN1_CTX","","Low","None","Peripheral mode","CMOS","None","CAN1: CTX
GPT0: GTIOCA
ICU0: IRQ14
IIC2: SCL
PDC0: VSYNC
SCI4: SDA
SCI4: TXD"
"P600","98","GPIO","DIP5","","","Input mode","","None","BUS_ASYNCH_BUS_SDRAM0: RD
CAC0: CACREF
CGC0: CLKOUT
GLCDC0: LCD_DATA02
GPT6: GTIOCB
SCI9: SCK"
"P601","97","GPIO","DIP6","","","Input mode","","None","BUS_ASYNCH_BUS_SDRAM0: WR_DQM
GLCDC0: LCD_DATA03
GPT6: GTIOCA
SCI9: RXD
SCI9: SCL"
"P602","96","GPIO","DIP7","","","Input mode","","None","BUS_ASYNCH_BUS_SDRAM0: BCLK_SDCLK
GLCDC0: LCD_DATA04
GPT7: GTIOCB
SCI9: SDA
SCI9: TXD"
"P603","95","GPIO","DIP8","","","Input mode","","None","BUS_ASYNCH_BUS_SDRAM0: D_DQ13
GPT7: GTIOCA
SCI9: CTS"
"P604","94","","","","","Disabled","","","BUS_ASYNCH_BUS_SDRAM0: D_DQ12
GPT8: GTIOCB"
"P605","93","","","","","Disabled","","","BUS_ASYNCH_BUS_SDRAM0: D_DQ11
GPT8: GTIOCA"
"P608","83","GPIO","SelA","Low","","Output mode (Initial Low)","CMOS","","BUS_ASYNCH_BUS_SDRAM0: BC_A_DQM00
GLCDC0: LCD_DATA07
GPT4: GTIOCB"
"P609","84","GPIO","SelB","Low","","Output mode (Initial Low)","CMOS","","BUS_ASYNCH_BUS_SDRAM0: CS_CKE1
CAN1: CTX
GLCDC0: LCD_DATA06
GPT5: GTIOCA"
"P610","85","GPIO","SelC","Low","","Output mode (Initial Low)","CMOS","","BUS_ASYNCH_BUS_SDRAM0: CS_WE0
CAN1: CRX
GLCDC0: LCD_DATA05
GPT5: GTIOCB"
"P611","86","GPIO","CPULED","Low","","Output mode (Initial Low)","CMOS","","BUS_ASYNCH_BUS_SDRAM0: SDCS
CAC0: CACREF
CGC0: CLKOUT
SCI7: CTS"
"P612","87","","","","","Disabled","","","BUS_ASYNCH_BUS_SDRAM0: D_DQ08
SCI7: SCK"
"P613","88","","","","","Disabled","","","BUS_ASYNCH_BUS_SDRAM0: D_DQ09
SCI7: SDA
SCI7: TXD"
"P614","89","","","","","Disabled","","","BUS_ASYNCH_BUS_SDRAM0: D_DQ10
SCI7: RXD
SCI7: SCL"
"P700","8","GPIO","PowerRelay2","Low","","Output mode (Initial Low)","CMOS","","ETHERC_MII0: ETXD1
ETHERC_RMII0: TXD0
GPT5: GTIOCA
PDC0: PIXD3
SDHI1: DAT3
SPI1: MISO"
"P701","9","GPIO","Brake","Low","","Output mode (Initial Low)","CMOS","","ETHERC_MII0: ETXD0
ETHERC_RMII0: REF50CK
GPT5: GTIOCB
PDC0: PIXD2
SDHI1: DAT2
SPI1: MOSI"
"P702","10","GPIO","PowerRelay1","Low","","Output mode (Initial Low)","CMOS","","ETHERC_MII0: ERXD1
ETHERC_RMII0: RXD0
GPT6: GTIOCA
PDC0: PIXD1
SDHI1: DAT1
SPI1: RSPCK"
"P703","11","GPIO","UpRelay2","Low","","Output mode (Initial Low)","CMOS","","ACMP(0-5): VCOUT
ETHERC_MII0: ERXD0
ETHERC_RMII0: RXD1
GPT6: GTIOCB
PDC0: PIXD0
SDHI1: DAT0
SPI1: SSL0"
"P704","12","GPIO","ChargerOn","Low","","Output mode (Initial Low)","CMOS","","AGT0: AGTO
CAN0: CTX
ETHERC_MII0: RX_CLK
ETHERC_RMII0: RX_ER
PDC0: HSYNC
SDHI1: CLK
SPI1: SSL1"
"P705","13","GPIO","UpRelay1","Low","","Output mode (Initial Low)","CMOS","","AGT0: AGTIO
CAN0: CRX
ETHERC_MII0: CRS
ETHERC_RMII0: CRS_DV
PDC0: PIXCLK
SDHI1: CMD
SPI1: SSL2"
"P708","27","GPIO","ETH-STA","Low","None","Output mode (Initial Low)","CMOS","","CAC0: CACREF
CTSU0: TS12
ETHERC_MII0: ETXD3
ICU0: IRQ11
PDC0: PCKO
SCI1: RXD
SCI1: SCL
SPI0: SSL3
SSI_COMMON0: AUDIO_CLK"
"P709","26","","","","","Disabled","","","CTSU0: TS13
ETHERC_MII0: ETXD2
ICU0: IRQ10
SCI1: SDA
SCI1: TXD"
"P710","25","GPIO","","Low","","Output mode (Initial Low)","CMOS","","CTSU0: TS14
ETHERC_MII0: TX_ER
SCI1: SCK"
"P711","24","GPIO","DownRelay1","Low","","Output mode (Initial Low)","CMOS","","AGT0: AGTEE
CTSU0: TS15
ETHERC_MII0: TX_CLK
SCI1: CTS"
"P712","23","GPIO","PowerContactor","Low","","Output mode (Initial Low)","CMOS","","AGT0: AGTOB
CTSU0: TS16
GPT2: GTIOCB"
"P713","22","GPIO","UpContactor","Low","","Output mode (Initial Low)","CMOS","","AGT0: AGTOA
CTSU0: TS17
GPT2: GTIOCA"
"P800","109","","","","","Disabled","","","BUS_ASYNCH_BUS_SDRAM0: D_DQ14"
"P801","110","","","","","Disabled","","","BUS_ASYNCH_BUS_SDRAM0: D_DQ15
SDHI1: DAT4"
"RES#","55","SYSTEM0_RES","","","","","","",""
"USBDM","38","USBFS0_DM","","","","","","",""
"USBDP","39","USBFS0_DP","","","","","","",""
"VBATT","14","SYSTEM0_VBATT","","","","","","",""
"VCC","99","SYSTEM0_VCC","","","","","","",""
"VCC","121","SYSTEM0_VCC","","","","","","",""
"VCC","111","SYSTEM0_VCC","","","","","","",""
"VCC","68","SYSTEM0_VCC","","","","","","",""
"VCC","49","SYSTEM0_VCC","","","","","","",""
"VCC","90","SYSTEM0_VCC","","","","","","",""
"VCC","81","SYSTEM0_VCC","","","","","","",""
"VCC","21","SYSTEM0_VCC","","","","","","",""
"VCC","142","SYSTEM0_VCC","","","","","","",""
"VCCUSB","40","USBFS0_VCC","","","","","","",""
"VCL","92","SYSTEM0_VCL","","","","","","",""
"VCL0","15","SYSTEM0_VCL0","","","","","","",""
"VREFH","126","ANALOG0_VREFH","","","","","","",""
"VREFH0","130","ANALOG0_VREFH0","","","","","","",""
"VREFL","125","ANALOG0_VREFL","","","","","","",""
"VREFL0","129","ANALOG0_VREFL0","","","","","","",""
"VSS","122","SYSTEM0_VSS","","","","","","",""
"VSS","67","SYSTEM0_VSS","","","","","","",""
"VSS","100","SYSTEM0_VSS","","","","","","",""
"VSS","112","SYSTEM0_VSS","","","","","","",""
"VSS","48","SYSTEM0_VSS","","","","","","",""
"VSS","18","SYSTEM0_VSS","","","","","","",""
"VSS","91","SYSTEM0_VSS","","","","","","",""
"VSS","82","SYSTEM0_VSS","","","","","","",""
"VSS","141","SYSTEM0_VSS","","","","","","",""
"VSSUSB","37","USBFS0_VSS","","","","","","",""
"XCIN","16","CGC0_XCIN","","","","","","",""
"XCOUT","17","CGC0_XCOUT","","","","","","",""
